Jun  5 11:36:08.566000 - 4296/6068	Opening up local metadata repository. Type - JDESPECTYPE_GLBLTBL. 
Jun  5 11:36:08.566001 - 4296/6068	IntSpecOpenPackage: SPEC_HANDLE Allocated, Handle=000000000a486780 
Jun  5 11:36:08.566002 - 4296/6068	IntSpecOpenPackage: Recursively calling DoSpecOpen. Handle=000000000a486780 
Jun  5 11:36:08.566003 - 4296/6068	JDETAMA:Entering INTWorkWithTamLockList for action 0 
Jun  5 11:36:08.566004 - 4296/6068	JDETAMA:Exited INTWorkWithTamLockList for action 0 
Jun  5 11:36:08.566005 - 4296/6068	JDETAMA:INTGetTamLockHandle got pTamLock:[00000000001b85a0],pTamLock->hIPCTamLock:[00000000001b95c0]. 
Jun  5 11:36:08.566006 - 4296/6068	Locking D:\JDE\ES\jde920\e920\CTPY92\spec\CTPY92FX\glbltbl.ddb in READ mode.  
Jun  5 11:36:08.566007 - 4296/6068	JDETAMA:entering INTLockTam with pTamLock:[00000000001b85a0],pTamLock->hIPCTamLock:[00000000001b95c0],pTamLock->szLockName:D:\JDE\ES\jde920\e920\CTPY92\spec\CTPY92FX\glbltbl.ddb, type:1 
Jun  5 11:36:08.566008 - 4296/6068	JDETAMA:entering INTLockTam for read lock,nReaders 0 
Jun  5 11:36:08.566009 - 4296/6068	LOCK: Total READ locks after operation: 1  
Jun  5 11:36:08.566010 - 4296/6068	JDETAMA:exited INTLockTam with pTamLock:[00000000001b85a0],pTamLock->hIPCTamLock:[00000000001b95c0], type:1, numReaders=1. 
Jun  5 11:36:08.566011 - 4296/6068	jdeSpecOpen() opening spec of release JDESPECRELLVL_B9U. 
Jun  5 11:36:08.566012 - 4296/6068	SpecEncapsulation : jdeSpecOpenLocal completed OK. 
Jun  5 11:36:08.566013 - 4296/6068	IntSpecOpenPackage: Returning 'PASSED' 
Jun  5 11:36:08.567000 - 4296/6068	IntSpecClose: Entering w/ Handle = 000000000a486780 
